Role;Seniority;Specialization;Skill;Proficiency
Functional/System Analyst;Senior;Functional/System Analysis;Atlassian Confluence;3
Functional/System Analyst;Senior;Functional/System Analysis;Atlassian Jira;3
Functional/System Analyst;Senior;Functional/System Analysis;Business Process Modeling Notation (BPMN);3
Functional/System Analyst;Senior;Functional/System Analysis;REST API;3
Functional/System Analyst;Senior;Functional/System Analysis;SQL;3
Functional/System Analyst;Senior;Functional/System Analysis;UML;3
Software Developer;Senior;Java;Apache Kafka;3
Software Developer;Senior;Java;Apache Maven;3
Software Developer;Senior;Java;Docker;3
Software Developer;Senior;Java;Git;3
Software Developer;Senior;Java;Java;4
Software Developer;Senior;Java;Java 8 - 17;3
Software Developer;Senior;Java;PostgreSQL;3
Software Developer;Senior;Java;Spring Boot;3
Software Developer;Senior;Java;Spring Data;3
Software Developer;Senior;Java;Spring Framework;3
Test Engineer;Regular;QA Manual;Atlassian Confluence;3
Test Engineer;Regular;QA Manual;Atlassian Jira;3
Test Engineer;Regular;QA Manual;Manual Testing;4
Test Engineer;Regular;QA Manual;Postman;3
Test Engineer;Regular;QA Manual;SQL;3
Software Developer;Regular;Java;Apache Kafka;3
Software Developer;Regular;Java;Apache Maven;3
Software Developer;Regular;Java;Docker;3
Software Developer;Regular;Java;Git;3
Software Developer;Regular;Java;Hibernate;3
Software Developer;Regular;Java;Java;3
Software Developer;Regular;Java;Java 8 - 17;3
Software Developer;Regular;Java;JUnit;3
Software Developer;Regular;Java;PostgreSQL;3
Software Developer;Regular;Java;Spring Boot;3
Software Developer;Regular;Java;Spring Data;3
Software Developer;Regular;Java;Spring Framework;3
Software Developer;Regular;Java;SQL;3
Test Engineer;Senior;QA Manual;Atlassian Confluence;3
Test Engineer;Senior;QA Manual;Atlassian Jira;3
Test Engineer;Senior;QA Manual;Elastic Kibana;3
Test Engineer;Senior;QA Manual;Functional Testing;5
Test Engineer;Senior;QA Manual;Integration Testing;3
Test Engineer;Senior;QA Manual;Manual Testing;4
Test Engineer;Senior;QA Manual;PostgreSQL;3
