Position;Skill
0;0
0;1
0;2
0;3
0;4
0;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;13
1;14
1;15
2;0
2;1
2;16
2;17
2;4
3;6
3;7
3;8
3;9
3;18
3;19
3;11
3;20
3;12
3;13
3;14
3;15
3;4
4;0
4;1
4;21
4;22
4;23
4;16
4;12
4;17
4;24
4;4
4;25
5;26
5;9
5;27
5;28
5;29
5;30
5;31
5;32
6;0
6;1
6;2
6;4
6;5
7;33
7;34
7;35
7;36
7;37
7;38
7;39
7;12
7;40
8;26
8;9
8;41
8;28
8;29
8;30
8;31
9;42
9;1
9;2
9;43
9;44
9;45
9;3
9;40
9;46
10;6
10;47
10;0
10;1
10;8
10;37
10;48
10;49
10;50
10;51
10;12
10;52
10;53
10;54
10;55
10;4
11;9
11;19
11;12
11;17
11;56
11;4
12;57
13;0
13;1
13;58
13;22
13;59
13;12
13;17
13;60
13;4
13;61
14;62
14;8
14;63
14;64
14;65
14;66
14;67
14;68
14;69
14;12
14;70
15;1
15;9
15;19
15;56
15;4
16;71
16;72
16;37
16;73
16;74
16;27
16;75
16;29
16;76
16;77
16;78
17;1
17;9
17;79
17;40
18;80
18;0
18;1
18;21
18;63
18;81
18;82
18;4
18;83
19;0
19;1
20;6
20;7
20;8
20;9
20;18
20;49
20;50
20;20
20;84
20;85
20;86
20;12
20;87
20;52
20;13
20;14
20;55
20;40
21;88
21;8
21;9
21;63
21;89
21;69
21;70
22;1
22;2
23;90
23;91
23;92
23;93
23;94
23;95
23;96
23;97
23;98
23;99
23;100
23;101
23;102
24;0
24;1
25;103
25;104
25;105
25;19
25;106
25;107
25;108
25;109
26;110
27;9
27;111
27;112
27;113
27;40
28;6
28;10
28;49
28;114
28;115
28;12
28;55
28;5
28;46
28;116
29;103
29;117
29;104
29;19
29;118
29;107
29;119
30;92
30;120
30;95
30;121
30;122
30;123
30;124
30;125
30;99
30;101
30;102
31;126
31;127
31;9
31;128
31;129
31;130
31;131
31;132
31;133
32;134
32;135
32;37
32;136
32;137
32;138
32;130
32;139
32;140
32;141
32;132
32;133
33;6
33;142
33;143
33;144
33;145
33;10
33;49
33;66
33;12
33;146
33;147
33;116
34;0
34;1
34;89
34;12
34;17
34;40
34;83
35;39
35;148
35;149
35;150
35;151
35;4
35;40
36;152
36;6
36;0
36;1
36;153
36;22
36;23
36;59
36;154
36;12
36;17
36;155
36;4
36;40
36;156
36;157
36;158
37;33
37;34
37;50
37;39
37;159
37;4
37;40
38;160
38;9
38;37
38;161
38;48
38;162
38;44
38;17
38;158
39;163
39;164
39;0
39;1
39;165
39;166
39;167
39;168
39;169
39;170
39;171
39;172
39;173
40;6
40;174
40;175
40;42
40;58
40;176
40;21
40;9
40;59
40;12
40;17
40;155
40;40
40;156
40;177
40;178
40;179
41;6
41;8
41;180
41;9
41;37
41;161
41;48
41;49
41;66
41;68
41;12
41;52
41;181
41;13
41;4
42;182
42;183
42;184
43;185
43;4
43;158
43;186
44;187
44;17
45;188
45;189
45;190
46;191
46;42
46;192
46;1
46;193
46;194
46;195
46;196
46;197
46;198
46;199
46;200
46;4
46;40
47;201
47;202
47;196
47;203
47;204
47;205
47;197
47;206
47;207
47;208
47;172
48;209
48;210
48;175
48;58
48;211
48;212
48;213
48;214
48;86
48;215
48;12
48;17
48;216
48;217
48;218
48;219
48;155
48;220
48;4
48;221
48;158
49;222
49;223
49;9
49;161
49;224
49;86
49;12
49;225
49;226
49;148
49;149
49;227
49;4
50;228
50;229
50;0
50;42
50;1
50;58
50;230
50;218
50;219
50;155
50;220
50;231
50;232
50;233
50;234
50;235
51;164
51;236
51;237
51;238
51;6
51;175
51;239
51;0
51;1
51;8
51;240
51;241
51;22
51;9
51;23
51;242
51;64
51;65
51;243
51;89
51;68
51;59
51;39
51;12
51;244
51;87
51;245
51;246
51;247
51;248
51;13
51;4
51;235
51;61
52;184
52;249
53;176
53;127
53;250
53;251
53;252
53;17
53;186
54;175
54;0
54;42
54;1
54;58
54;253
54;254
54;255
54;8
54;240
54;256
54;257
54;63
54;258
54;259
54;19
54;64
54;65
54;66
54;89
54;68
54;260
54;69
54;261
54;85
54;12
54;70
54;262
54;235
54;263
55;129
55;131
55;132
55;264
56;1
56;9
56;112
56;113
56;265
57;175
57;0
57;192
57;1
57;37
57;266
57;267
57;268
57;269
57;270
57;213
57;214
57;271
57;272
57;154
57;273
57;249
57;274
57;275
57;276
57;277
57;278
57;279
57;280
